ID;Formula;Compound Name;A;B;C;TMIN;TMAX
142;C4H7N;isobutyronitrile;7;1391;217;49;127
143;C4H8;1-butene;7;926;240;-81;13
144;C4H8;2-butene,cis;7;960;237;-73;23
145;C4H8;2-butene,trans;7;961;240;-76;20
146;C4H8;2-methylpropene;7;923;240;-82;12
147;C4H8;cyclobutane;7;1025;241;-73;17
148;C4H8BR2;1,2-dibromobutane;7;1759;235;8;166
149;C4H8BR2;2,3-dibromobutane;7;1691;230;5;161
150;C4H8I2;1,2-diiodobutane;6;1507;245;110;246
151;C4H8O;butyraldehyde;7;1233;223;-18;107
152;C4H8O;2-butanone;7;1368;237;-16;103
153;C4H8O2;p-dioxane;7;1289;211;2;137
154;C4H8O2;ethyl-acetate;7;1212;216;-13;112
155;C4H8S;thiacyclopentane;7;1402;220;14;147
156;C4H9BR;1-bromobutane;7;1299;220;19;141
157;C4H9BR;2-bromobutane;7;1229;220;10;146
158;C4H9BR;2-bromo-2-methylpropane;7;1130;225;-7;110
159;C4H9CL;1-chlorobutane;7;1227;224;-18;112
160;C4H9CL;2-chlorobutane;7;1196;226;-23;102
161;C4H9CL;1-chloro-2-methylpropane;7;1205;227;-54;69
162;C4H9CL;2-chloro-2-methylpropane;7;1115;229;-38;87
163;C4H9I;2-iodo-2-methylpropane;7;1507;245;42;124
164;C4H9N;pyrrolidine;7;1180;205;27;127
165;C4H9NO2;1-nitrobutane;7;1467;215;86;182
166;C4H9NO2;2-nitrobutane;7;1664;241;75;167
167;C4H10;butane;7;936;239;-78;19
168;C4H10;2-methylpropane(isobutane);7;946;247;-87;7
169;C4H10O;ethyl-ether;7;1064;229;-61;20
170;C4H10O;methyl-propyl-ether;6;709;180;0;39
171;C4H10O;methyl-isopropyl-ether;6;709;180;-12;51
172;C4H10O;butyl-alcohol;7;1362;179;15;131
173;C4H10O;sec-butyl-alcohol;7;1314;187;25;120
174;C4H10O;tert-butyl-alcohol;7;1154;178;20;103
175;C4H10S;ethylsulfide;7;1258;219;-6;117
176;C4H10S;isopropyl-methyl-sulfide;7;1232;222;-13;109
177;C4H10S;methyl-propyl-sulfide;7;1284;220;-4;120
178;C4H10S;1-butanethiol;7;1281;218;-2;123
179;C4H10S;2-butanethiol;7;1230;222;-13;109
180;C4H10S;2-methyl-1-propanethiol;7;1237;220;-10;113
181;C4H10S;2-methyl-2-propanethiol;7;1116;221;1;87
182;C4H10S2;ethyl-disulfide;7;1486;209;40;182
183;C4H11N;butylamine;7;1308;224;-14;100
184;C4H11N;sec-butylamine;7;1238;227;-9;98
185;C4H11N;tert-butylamine;7;993;210;19;75
186;C4H11N;diethylamine;7;1127;220;-31;77
187;C5H5N;pyridine;7;1344;212;12;152
188;C5H6S;2-methylthiophene;7;1326;214;9;138
189;C5H6S;3-methylthiophene;7;1364;217;11;141
190;C5H8;1,2-pentadiene;7;1105;229;-20;66
191;C5H8;1,3-pentadiene,cis;7;1102;229;-17;65
192;C5H8;1,3-pentadiene,trans;7;1104;232;-16;63
193;C5H8;1,4-pentadiene;7;1018;231;-33;46
194;C5H8;2,3-pentadiene;7;1127;228;-13;69
195;C5H8;3-methyl-1,2-butadiene;7;1104;231;-20;62
196;C5H8;2-methyl-1,3-butadiene;7;1072;234;-18;55
197;C5H8;1-pentyne;7;1093;227;-43;62
198;C5H8;2-pentyne;7;1190;230;-33;78
199;C5H8;3-methyl-1-butyne;7;1015;227;-55;47
200;C5H8;cyclopentene;7;1122;233;-29;105
201;C5H8;spiropentane;7;1090;231;3;71
202;C5H10;1-pentene;7;1045;234;-55;51
203;C5H10;2-pentene,cis;7;1068;231;-49;58
204;C5H10;2-pentene,trans;7;1084;233;-49;58
205;C5H10;2-methyl-1-butene;7;1054;233;-53;52
206;C5H10;3-methyl-1-butene;7;1013;237;-63;41
207;C5H10;2-methyl-2-butene;7;1095;233;-48;60
208;C5H10;cyclopentane;7;1124;231;-40;72
209;C5H10BR2;2,3-dibromo-2-methylbutane;7;1696;207;81;218
210;C5H10O;valeraldehyde;7;1316;215;4;139
211;C5H10O;2-pentanone;7;1275;211;2;137
212;C5H10S;thiacyclohexane;7;1422;212;29;170
213;C5H10S;cyclopentanethiol;7;1389;212;81;173
214;C5H11BR;1-bromopentane;7;1402;214;41;173
215;C5H11CL;1-chloropentane;7;1333;219;24;148
216;C5H11CL;1-chloro-3-methylbutane;7;1259;223;39;124
217;C5H11CL;2-chloro-2-methylbutane;7;1259;223;7;123
218;C5H12;pentane;7;1076;233;-50;58
219;C5H12;2-methylbutane(isopentane);7;1041;235;-57;49
220;C5H12;2,2-dimethypropane;7;883;228;-13;29
221;C5H12O;methyl-tert-butyl-ether;6;709;180;2;80
222;C5H12O;pentyl-alcohol;7;1315;168;37;138
223;C5H12O;tert-pentyl-alcohol;8;1605;208;55;133
224;C5H12S;butyl-methyl-sulfide;7;1364;212;17;150
225;C5H12S;ethyl-propyl-sulfide;7;1342;213;14;145
226;C5H12S;2-methyl-2-butanethiol;7;1255;219;-3;125
227;C5H12S;1-pentanethiol;7;1369;211;20;153
228;C6CL6;hexachlorobenzene;10;4598;356;114;309
229;C6F6;hexafluorobenzene;7;1228;216;-3;117
230;C6H4CL2;o-dichlorobenzene;7;1650;213;58;210
231;C6H4CL2;m-dichlorobenzene;7;1782;230;53;202
232;C6H4CL2;p-dichlorobenzene;7;1575;209;54;204
233;C6H4F2;m-difluorobenzene;7;1310;223;36;114
234;C6H4F2;o-difluorobenzene;7;1310;223;31;130
235;C6H4F2;p-difluorobenzene;7;1310;223;34;112
236;C6H5BR;bromobenzene;7;1439;205;47;177
237;C6H5CL;chlorobenzene;7;1431;218;47;147
